variance,avg_isolated,avg_num_communities,avg_modularity,avg_similarity,epsilon
0.0971391172221484,32.2,2.4,0.0008003999995992456,0.6423185804990064,0.0
0.09162232634684678,39.8,2.4,0.0007004501999497221,0.6536005160535068,0.001002004008016032
0.09027367270904173,33.8,2.8,0.0009005251497744185,0.6567310643551625,0.002004008016032064
0.0910765274846872,34.2,2.4,0.0007003499996493318,0.6580368062814843,0.0030060120240480957
0.09143162505560087,40.4,2.6,0.0010002745488231232,0.6584061716097505,0.004008016032064128
0.09091965858231695,39.0,2.2,0.0007003249495742316,0.6548935991836127,0.00501002004008016
0.09153167864090178,37.2,2.0,0.0005003000998997384,0.6564960145040389,0.0060120240480961915
0.09198041243584275,35.4,1.8,0.0004002500999498054,0.6522741082580318,0.007014028056112224
0.09128143003931953,38.6,2.2,0.0006000745490234929,0.6563458685034362,0.008016032064128256
0.08917194411326608,34.8,2.0,0.0005003000998997385,0.6608747764562797,0.009018036072144287
0.09072440464013797,35.2,2.2,0.0007003499996493347,0.6590815826699021,0.01002004008016032
0.09155265234512955,40.0,1.8,0.00040022504987472445,0.65856188612528,0.011022044088176352
0.09010501132503165,36.8,1.8,0.0005002750498246382,0.6636174747178473,0.012024048096192383
0.09096422877033422,37.0,1.6,0.000300225150075042,0.6604074278843854,0.013026052104208416
0.09088526155623529,35.0,2.8,0.0010004999994990675,0.6599500891924214,0.014028056112224447
0.09147904915646031,39.6,1.8,0.0004002751500249307,0.6565633800417725,0.01503006012024048
0.09012020730794683,33.4,1.6,0.0004002250498747053,0.660752025701426,0.01603206412825651
0.0914290673446396,33.8,2.6,0.0008004500997494489,0.6622963627906924,0.017034068136272545
0.09037684430776123,36.2,2.6,0.0008004250496743458,0.6611003512834864,0.018036072144288574
0.08994158120567408,33.6,2.2,0.0006004001999998334,0.6646201693065069,0.019038076152304607
0.09018809281914864,32.0,1.4,0.000200150100050028,0.6660352439714282,0.02004008016032064
0.0898180679765436,34.6,2.2,0.0006003500998496272,0.6649880939128048,0.02104208416833667
0.08931256486915636,35.8,2.0,0.0005003502000499448,0.6686010826738193,0.022044088176352703
0.09126924025266654,34.8,3.2,0.0015003992981971518,0.661411623682997,0.023046092184368736
0.09061969678046404,37.0,2.4,0.000800475149824555,0.6670895642197033,0.024048096192384766
0.09007087993416923,38.0,3.2,0.0012004246488731007,0.6654071337583021,0.0250501002004008
0.09029938810307597,36.8,2.2,0.0006002999996994431,0.6650232273634668,0.026052104208416832
0.09095731206944846,33.2,3.6,0.0015005746487228588,0.6645801034126889,0.027054108216432865
0.08911048928797273,36.6,1.4,0.0003001750499248165,0.6705500848967813,0.028056112224448895
0.09113187710376856,36.0,2.2,0.0006003751499247524,0.6671147024333977,0.029058116232464928
0.0894752658657374,39.8,1.8,0.0004002751500249307,0.6668781841713681,0.03006012024048096
0.09067520072114049,33.8,2.2,0.0006004001999998334,0.6659543503679342,0.03106212424849699
0.09105685192201715,36.4,2.4,0.000800475149824555,0.6665715880645616,0.03206412825651302
0.08795270412787767,36.0,2.0,0.0005002750498246132,0.6751075514149139,0.033066132264529056
0.08987475927682549,29.6,2.2,0.0006003751499247524,0.6692216291999356,0.03406813627254509
0.09090555656333689,31.0,2.6,0.0008005001998996552,0.6697672369884978,0.03507014028056112
0.08893228805649564,34.2,3.4,0.0012004246488731423,0.6722129542661353,0.03607214428857715
0.0889981526318052,31.4,2.6,0.0008005252499747361,0.6740528673308983,0.03707414829659318
0.08983541372322476,38.2,1.4,0.000200150100050028,0.6707543888252822,0.038076152304609215
0.0889221609539569,32.2,2.4,0.0007004501999497221,0.6759735996396204,0.03907815631262525
0.08903311661163336,34.0,2.8,0.0009005000996993376,0.6754486223445317,0.04008016032064128
0.08927510069539221,34.8,2.4,0.000800475149824555,0.6741549690779252,0.041082164328657314
0.09083122615087014,39.6,1.2,0.000100075050025014,0.6698553487666021,0.04208416833667334
0.08995588408688586,30.2,2.2,0.0009004249494740371,0.676232199307567,0.04308617234468937
0.08968220979564036,34.2,2.6,0.0008003999995992205,0.6771409080534855,0.044088176352705406
0.09090664313757338,36.4,3.4,0.0013006750494238366,0.6744054024905436,0.04509018036072144
0.0887735868772216,33.8,1.8,0.0005003000998997193,0.6757761997396333,0.04609218436873747
0.08859226971571761,34.8,2.8,0.0011004497991485688,0.6768032350501892,0.047094188376753505
0.08878959152566462,35.2,2.6,0.0009004499995491343,0.678622037889651,0.04809619238476953
0.08892180896117136,34.2,2.4,0.0008003498994490394,0.6803298156874861,0.049098196392785565
0.08957715604135226,30.6,2.0,0.00050037525012507,0.6775157411798842,0.0501002004008016
0.08906511984962896,30.4,2.6,0.0009002746490234347,0.6775166409713044,0.05110220440881763
0.08861992595023081,36.2,2.2,0.0010001743485227228,0.6816535187079061,0.052104208416833664
0.08978682458150354,36.8,2.4,0.0007003499996493318,0.6795402242741753,0.0531062124248497
