avg_num_communities,avg_modularity,epsilon,mu
2.2,0.0008003498994490453,0.0,0.0
2.4,0.0008003498994490394,0.0,0.25
2.6,0.0009003748493238472,0.0,0.5
2.0,0.0005002249496744291,0.25,0.0
2.2,0.4990294097901706,0.25,0.25
2.0,0.0005003000998997384,0.25,0.5
1.0,0.0,0.5,0.0
1.0,0.0,0.5,0.25
1.0,0.0,0.5,0.5
