avg_num_communities,avg_modularity,epsilon,mu
3.4,0.0015005495986477586,0.0,0.0
3.2,0.0012005999993988448,0.0,0.01
2.2,0.0006003751499247524,0.0,0.02
1.6,0.0003002000999999167,0.0,0.03
1.6,0.0003002000999999167,0.0,0.04
1.8,0.0005003000998997193,0.0,0.05
2.8,0.0010005250495741262,0.0,0.06
2.0,0.0008003498994490484,0.0,0.07
2.8,0.001200424648873132,0.0,0.08
1.2,0.000100075050025014,0.0,0.09
2.6,0.0008004500997494489,0.0,0.1
2.0,0.0005003502000499447,0.0,0.11
2.2,0.0006004252500749587,0.0,0.12
2.6,0.0008004751498245299,0.0,0.13
2.4,0.000800475149824555,0.0,0.14
2.0,0.0005003502000499447,0.0,0.15
2.8,0.0009005251497744629,0.0,0.16
2.4,0.0008003749495241203,0.0,0.17
2.2,0.000700400099799541,0.0,0.18
2.2,0.0007004251498746664,0.0,0.19
2.8,0.0010005751497243324,0.0,0.2
2.2,0.0007004501999497472,0.0,0.21
2.2,0.0006004001999998334,0.0,0.22
2.6,0.0010005500996492322,0.0,0.23
2.2,0.0008001494988482205,0.0,0.24
2.2,0.0006004001999998334,0.0,0.25
2.6,0.0009004249494740536,0.0,0.26
2.2,0.0006004001999998334,0.0,0.27
3.4,0.0013005748491234687,0.0,0.28
2.0,0.0006003751499247332,0.0,0.29
2.0,0.0005003502000499447,0.0,0.3
2.0,0.000600325049774527,0.0,0.31
2.2,0.0006003751499247524,0.0,0.32
3.2,0.0011006251496742405,0.0,0.33
2.4,0.0008004250496743487,0.0,0.34
2.4,0.0007004000997995159,0.0,0.35000000000000003
2.0,0.0005003502000499447,0.0,0.36
2.0,0.000600325049774527,0.0,0.37
2.0,0.0005002750498246132,0.0,0.38
1.8,0.0005002750498246383,0.0,0.39
2.4,0.0007004251498746412,0.0,0.4
2.4,0.0007004501999497665,0.0,0.41000000000000003
3.2,0.0012005498992486384,0.0,0.42
1.6,0.000300225150075042,0.0,0.43
2.6,0.000900500099699363,0.0,0.44
2.0,0.0005003502000499447,0.0,0.45
